,iteration,realization,is_observation,is_prediction,name,tagname,attribute,calculation,offset,domain,time0,time1,relative_path
35,iter-0,realization-29,False,True,seismic,relai_depth,relai,,,depth,2018-01-01,2019-07-01,realization-29/iter-0/share/results/seismic/seismic--relai_depth--20190701_20180101.segy
36,iter-0,realization-93,False,True,seismic,amplitude_far_2x_time,amplitude2,mean,far,time,2018-01-01,,realization-93/iter-0/share/results/seismic/seismic--amplitude_far_2x_time--20180101.segy
37,iter-0,realization-93,False,True,seismic,amplitude_far_depth,amplitude,,far,time,2018-01-01,,realization-93/iter-0/share/results/seismic/seismic--amplitude_far_depth--20180101.segy
38,iter-0,realization-93,False,True,seismic,amplitude_far_time,amplitude,mean,far,time,2018-01-01,,realization-93/iter-0/share/results/seismic/seismic--amplitude_far_time--20180101.segy
39,iter-0,realization-93,False,True,seismic,amplitude_near_depth,amplitude,,near,time,2018-01-01,,realization-93/iter-0/share/results/seismic/seismic--amplitude_near_depth--20180101.segy
40,iter-0,realization-93,False,True,seismic,amplitude_near_2x_depth,amplitude2,,near,time,2018-01-01,,realization-93/iter-0/share/results/seismic/seismic--amplitude_near_2x_depth--20180101.segy
41,iter-0,realization-68,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2018-07-01,realization-68/iter-0/share/results/seismic/seismic--amplitude_depth--20180701_20180101.segy
42,iter-0,realization-70,False,True,seismic,amplitude_far_time,amplitude,mean,far,time,2018-01-01,,realization-70/iter-0/share/results/seismic/seismic--amplitude_far_time--20180101.segy
43,iter-0,realization-70,False,True,seismic,amplitude_near_depth,amplitude,,near,time,2018-01-01,,realization-70/iter-0/share/results/seismic/seismic--amplitude_near_depth--20180101.segy
44,iter-0,realization-82,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2019-07-01,realization-82/iter-0/share/results/seismic/seismic--amplitude_depth--20190701_20180101.segy
45,iter-0,realization-68,False,True,seismic,amplitude_depth,amplitude,,,depth,2018-01-01,2019-07-01,realization-68/iter-0/share/results/seismic/seismic--amplitude_depth--20190701_20180101.segy
46,iter-0,realization-36,False,True,seismic,amplitude_far_2x_time,amplitude2,mean,far,time,2018-01-01,,realization-36/iter-0/share/results/seismic/seismic--amplitude_far_2x_time--20180101.segy
